Time,Background,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10
93,2879.993,2915,2923.955,2908.212,2908.745,2992.345,2899.559,2920.089,2964.718,2920.18,2919.45
94,2883.548,2915.213,2928.987,2903.672,2908.192,2986.243,2903.618,2921.661,2974.141,2921.009,2921.067
95,2886.021,2919.463,2928.013,2906.562,2909.938,2985.542,2896.118,2914.968,2974.673,2920.728,2918.358
96,2883.808,2915.931,2929.705,2906.226,2909.558,2983.734,2893.39,2915.702,2978.205,2918.031,2917.625
97,2885.349,2916.667,2932.66,2906.015,2903.914,2975.893,2894.948,2914.976,2981.968,2921.96,2917.192
98,2886.699,2916.903,2931.5,2908.394,2910.327,2969.26,2898.625,2918.29,2988.833,2937.36,2917.046
99,2883.555,2919.037,2925.846,2906.226,2909.111,2977.588,2899.485,2920.234,2987.481,2940.82,2913.096
100,2883.014,2917.037,2922.731,2900.993,2909.683,2973.469,2897.448,2916.105,3002.776,2953.246,2912.163
101,2883.931,2914.62,2930.282,2905.453,2909.019,2967.61,2896.963,2918.169,2997.115,2952.676,2911.079
102,2882.856,2919.694,2933.026,2910.876,2910.183,2987.316,2900.427,2919.734,2994.276,2956.781,2913.329
103,2888.603,2917.032,2930.737,2904.562,2913.351,3006.187,2898.588,2915.936,3004.827,2959.412,2912.642
104,2888.993,2922.963,2930.647,2906.825,2909.644,2994.808,2898.61,2918.823,3011.378,2959.162,2916.137
105,2888.137,2923.227,2936.769,2911.109,2911.269,3006.062,2903.618,2918.718,3017.737,2965.044,2915.283
106,2884.931,2921.866,2929.365,2914.387,2909.303,3001.147,2899.787,2917.839,3022.109,2961.715,2915.121
107,2882.637,2919.176,2929.84,2907.321,2910.135,3012.633,2897.118,2923.653,3024.686,2960.088,2916.404
108,2884.534,2921.977,2933.487,2908.759,2910.466,3013.96,2895.625,2923.395,3025.923,2961.956,2913.783
109,2889.527,2923.843,2935.308,2909.482,2912.216,3008.181,2904.743,2922.669,3030.077,2964.219,2918.312
110,2884.493,2918.681,2930.789,2909.766,2913.375,3005.299,2898.912,2924.161,3025.051,2961.482,2913.146
111,2885.007,2920.87,2933.045,2907.474,2911.351,3003.791,2896.919,2921.46,3023.006,2963.96,2913.225
112,2884.938,2920.051,2932.186,2910.015,2912.351,2998.305,2900.5,2916.839,3019.865,2963.307,2913.471
113,2886.39,2921.481,2931.205,2904.533,2916.433,3002.028,2899.125,2923.686,3028.846,2962.627,2910.613
114,2887.034,2918.657,2932.59,2909.934,2914.755,3004.135,2903.404,2918.355,3027.147,2956.746,2912.946
115,2886.781,2919.19,2929.59,2907.876,2912.889,3011.661,2898.147,2918.863,3012.692,2962.298,2911.417
116,2883.171,2918.894,2933.827,2904.715,2918.654,3004.503,2898.89,2922.532,3029.494,2961.636,2912.479
117,2883.116,2920.255,2930.782,2910.657,2917.986,3005.418,2897.757,2921.436,3031.577,2964.031,2913.529
118,2884.411,2918.144,2933.532,2910.46,2920.38,3001.028,2899.647,2920.153,3029.179,2960.338,2915.413
119,2888.116,2922.676,2936.141,2910.219,2917.76,3000.463,2906.507,2920.395,3022.353,2963.083,2920.9
120,2888.247,2921.87,2931.551,2912.664,2920.034,3002.825,2904.596,2917.911,3022.436,2958.64,2915.371
121,2886.288,2920.264,2932.423,2910.883,2917.885,3009.797,2898.61,2917.242,3033.481,2959.579,2914.808
122,2890.973,2923.954,2935.891,2910.496,2923.164,3004.751,2906.647,2920.387,3031.244,2965.64,2920.996
123,2887.596,2920.097,2930.628,2909.869,2916.471,3010.051,2903.735,2919.339,3029.404,2966.118,2915.579
124,2887.034,2921.514,2937.449,2910.642,2914.875,3011.011,2900.823,2923.379,3022.282,2969.737,2917.462
125,2886.719,2924.181,2933.558,2910.08,2921.74,3011.034,2902.073,2922.306,3023.468,2968.048,2924.404
126,2886.644,2923.995,2930.859,2908.058,2917.082,3011.887,2903.265,2919.919,3020.09,2961.816,2922.462
127,2886.836,2923.866,2938.635,2914.175,2918.817,3023.785,2906.625,2925.806,3016.846,2965.303,2925.108
128,2887.973,2923.111,2934.744,2912,2920.139,3012.22,2903.198,2921.782,3017.5,2972.908,2919.858
129,2890.548,2921.648,2938.603,2911.905,2917.168,3012.187,2900.691,2921.863,3012.353,2964.215,2917.45
130,2886.157,2923.468,2930.359,2914.219,2914.764,3013.198,2902.427,2922.621,3022.885,2966.031,2920.992
131,2889.411,2926.509,2933.487,2909.526,2916.414,3012.294,2907.794,2921.581,3031.006,2966.943,2919.938
132,2887.103,2923.134,2927.705,2910.686,2915.327,3020.006,2901.713,2921.823,3033.468,2967.64,2917.346
133,2886.774,2924.144,2933.789,2910.474,2917.664,3022.65,2898.346,2922.468,3035.417,2965.162,2920.021
134,2888.288,2925.481,2936.147,2910.876,2921.841,3029.22,2902.279,2921.314,3039.853,2962.11,2921.604
135,2892.24,2922.588,2934.16,2913.241,2916.168,3025.079,2904.875,2921.105,3030.244,2967.763,2918.683
136,2888.938,2920.014,2928.577,2909.27,2917.192,3036.22,2898.331,2919.081,3031.782,2959.417,2915.079
137,2892.801,2924.125,2933.84,2907.956,2917.789,3029.412,2903.573,2923,3031.808,2962.447,2915.012
138,2889.39,2921.12,2926.827,2909.161,2916.481,3013.401,2902.743,2919.75,3033.423,2964.338,2914.771
139,2891.123,2920.389,2930.224,2913.635,2922.692,3007.859,2902.125,2921.75,3033.904,2967.438,2915.613
